Height(cm),Weight(kg),Thigh_Circumference_cm,Speed(m/s),DOB,Age
170.94,82.0,50.63,7.0,2006-10-03,18.78
168.86,80.67,40.0,7.0,2005-10-07,19.77
171.71,81.01,50.86,7.0,1994-06-11,31.09
175.74,81.76,67.57,7.88,2002-08-19,22.9
169.58,80.03,56.29,7.19,2001-09-25,23.8
175.27,82.0,57.04,7.5,2000-03-28,25.3
169.87,82.0,50.4,7.0,2006-04-02,19.28
180.58,82.0,63.24,7.22,1997-09-25,27.8
164.72,73.42,51.94,7.0,1996-02-09,29.43
180.27,82.0,69.01,7.28,1996-05-10,29.18
164.49,79.92,49.14,7.24,2007-04-06,18.27
177.5,82.0,74.11,7.26,1999-03-15,26.33
184.23,82.0,75.53,8.03,1998-02-04,27.44
176.01,82.0,61.9,7.0,1994-07-20,30.98
178.15,82.0,65.3,7.97,2007-05-20,18.15
160.73,78.81,51.67,7.0,2006-02-13,19.41
169.78,79.78,54.9,7.0,1995-01-15,30.49
167.83,77.35,59.6,7.0,1998-03-09,27.35
172.64,82.0,60.68,7.0,2000-08-30,24.87
172.37,82.0,56.46,7.0,1998-12-12,26.59
178.79,82.0,72.44,7.72,2006-08-04,18.94
175.07,82.0,51.33,7.0,1998-05-05,27.19
177.23,82.0,60.12,7.0,2001-01-02,24.53
170.5,82.0,48.55,7.0,1996-12-12,28.59
170.1,79.54,52.08,7.0,1999-08-04,25.94
170.34,82.0,59.96,7.27,1997-06-29,28.04
176.48,81.9,59.6,7.87,2006-06-22,19.06
167.56,82.0,60.69,7.0,1999-08-24,25.89
184.67,82.0,65.92,7.0,1995-08-24,29.89
175.0,81.31,62.92,7.5,1998-08-13,26.92
178.56,82.0,66.9,7.4,2001-01-12,24.5
171.32,80.35,64.7,7.35,2000-07-19,24.99
163.56,80.53,42.59,7.0,2002-06-20,23.07
177.31,82.0,70.39,8.55,2004-12-07,20.6
170.51,82.0,48.05,7.27,2001-06-27,24.05
167.29,77.68,49.77,7.24,2007-04-22,18.23
179.42,82.0,66.63,7.0,2003-06-07,22.1
185.95,82.0,59.6,8.12,1998-02-09,27.43
172.52,82.0,46.5,7.0,2004-10-18,20.74
165.5,80.52,47.86,7.0,2000-09-01,24.87
175.77,82.0,55.07,7.0,2003-09-27,21.8
174.79,82.0,57.01,7.0,2003-04-09,22.26
177.37,81.37,71.67,7.99,1999-06-05,26.11
171.45,82.0,57.03,7.0,2002-10-08,22.77
177.71,82.0,69.18,7.44,2001-12-29,23.54
168.1,82.0,60.58,7.0,1994-08-30,30.87
175.14,81.16,59.6,7.94,2007-06-13,18.09
172.87,82.0,60.55,7.03,2003-02-25,22.38
167.27,82.0,50.34,7.0,1994-07-09,31.01
174.14,79.37,63.55,7.08,2001-12-14,23.58
175.89,82.0,65.29,7.0,1994-03-06,31.36
178.36,82.0,64.04,7.0,1996-09-02,28.86
175.27,79.85,65.38,7.0,1996-10-13,28.75
172.84,79.35,64.61,7.12,2000-12-31,24.53
178.77,82.0,72.78,8.49,2007-10-31,17.7
164.2,78.94,41.88,7.0,2001-07-10,24.01
176.83,82.0,70.73,7.35,1995-04-12,30.26
166.83,81.99,51.27,7.0,2005-04-10,20.26
173.76,82.0,62.89,7.27,2001-11-28,23.62
169.31,79.14,69.9,7.38,1994-05-11,31.18
179.58,82.0,63.49,7.0,1995-05-08,30.18
167.4,76.61,59.6,7.0,2002-09-07,22.85
169.29,82.0,64.64,7.0,1996-09-22,28.81
164.9,75.69,42.14,7.0,2004-08-26,20.88
169.25,81.45,61.26,7.93,2006-05-12,19.17
160.0,73.22,40.0,7.0,2004-08-20,20.9
172.61,82.0,62.08,7.21,1999-05-10,26.18
177.91,82.0,70.68,7.7,1996-02-15,29.41
180.31,82.0,72.09,8.46,2006-06-18,19.07
160.45,77.17,43.14,7.0,2001-02-25,24.38
166.61,79.45,53.76,7.09,2000-09-20,24.81
181.88,82.0,77.74,8.34,2004-07-10,21.01
174.14,79.37,63.55,7.08,2001-12-14,23.58
172.12,82.0,65.4,7.41,2007-05-08,18.18
172.08,82.0,65.07,7.0,2000-06-21,25.06
181.6,82.0,69.45,7.0,1996-10-18,28.74
172.91,79.94,60.26,7.0,1998-01-18,27.49
175.38,82.0,72.37,7.41,1995-01-27,30.46
171.55,80.6,56.94,7.0,2002-06-01,23.12
173.49,81.84,60.53,7.0,1996-05-28,29.13
171.03,81.82,50.93,7.0,1997-06-21,28.06
174.08,81.93,51.55,7.27,2002-07-02,23.03
179.39,82.0,67.6,7.49,2003-06-24,22.06
180.39,82.0,71.92,8.54,2007-02-20,18.4
172.91,79.94,60.26,7.5,1998-01-18,27.49
166.89,79.61,56.96,7.0,1995-10-09,29.76
164.61,76.45,52.5,7.0,2002-03-25,23.3
180.4,82.0,67.58,8.03,2004-04-30,21.2
168.45,79.04,48.36,7.0,1994-02-04,31.44
176.65,82.0,67.21,7.0,1996-12-18,28.57
163.56,80.53,42.59,7.0,2002-06-20,23.07
175.17,80.57,65.7,7.0,1999-08-10,25.93
177.06,82.0,70.94,7.19,2001-05-19,24.15
173.38,82.0,52.13,7.0,2002-06-27,23.05
184.6,82.0,77.18,7.72,1994-12-04,30.61
167.97,82.0,43.25,7.0,1999-07-21,25.98
175.57,81.12,65.58,7.31,1999-08-25,25.89
173.81,82.0,66.41,7.0,1995-04-20,30.23
160.0,74.1,40.0,7.0,2001-02-26,24.38
170.66,81.96,64.37,7.27,2004-05-26,21.13
183.77,82.0,78.69,8.13,1997-03-30,28.29
173.08,82.0,55.66,7.0,2003-10-02,21.78
166.67,82.0,44.45,7.0,2004-12-28,20.54
169.58,80.03,56.29,7.19,2001-09-25,23.8
